Año,Trimestre,Ingresos,Periodo
2023,4,167376015, Oct-Dic 2023 
2023,3,133106593, Jul-Sept 2023 
2023,2,118060280, Jun-Mar 2023 
2023,1,104134993, Ene-Mar 2023 
2022,4,72443483, Oct-Dic 2022 
2022,3,64086784, Jul-Sept 2022 
2022,2,60419501, Abr-Jun 2022 
2022,1,55219313, Ene-Mar 2022 
2021,4,45467887, Oct-Dic 2021 
2021,3,42999944, Jul-Sept 2021 
2021,2,38239667, Abr-Jun 2021 
2021,1,36676371, Ene-Mar 2021 
2020,4,33539703, Oct-Dic 2020 
2020,3,31997445, Jul-Sept 2020 
2020,2,32102476, Abr-Jun 2020 
2020,1,29946216, Ene-Mar 2020 
2019,4,24169251, Oct-Dic 2019 
2019,3,21652748, Jul-Sept 2019 
2019,2,20743118, Abr-Jun 2019 
2019,1,20207414, Ene-Mar 2019 
2018,4,16637687, Oct-Dic 2018 
2018,3,15410981, Jul-Sept 2018 
2018,2,14319467, Abr-Jun 2018 
2018,1,13171459, Ene-Mar 2018 
2017,4,11226127, Oct-Dic 2017 
2017,3,10065998, Jul-Sept 2017 
2017,2,9678647, Abr-Jun 2017 
2017,1,8701201, Ene-Mar 2017 
2016,4,7483980, Oct-Dic 2016 
2016,3,6912442, Jul-Sept 2016 
2016,2,6534241, Abr-Jun 2016 
2016,1,5936845, Ene-Mar 2016 
2015,4,5376899, Oct-Dic 2015 
2015,3,5153739, Jul-Sept 2015 
2015,2,4701791, Abr-Jun 2015 
2015,1,4876385, Ene-Mar 2015 
2014,4,3950441, Oct-Dic 2014 
2014,3,3478638, Jul-Sept 2014 
2014,2,3270816, Abr-Jun 2014 
2014,1,2984054, Ene-Mar 2014 
